hostname,site,role,type,username,password
ISP001,ISP,edge,router,admin,Enterprise@2026
ISP002,ISP,edge,router,admin,Enterprise@2026
ISP003,ISP,edge,router,admin,Enterprise@2026
ISP004,ISP,edge,router,admin,Enterprise@2026
A-CR1,BranchA,core,router,admin,Enterprise@2026
A-DSW1,BranchA,distribution,switch,admin,Enterprise@2026
A-DSW2,BranchA,distribution,switch,admin,Enterprise@2026
A-ASW1,BranchA,access,switch,admin,Enterprise@2026
A-ASW2,BranchA,access,switch,admin,Enterprise@2026
A-ASW3,BranchA,access,switch,admin,Enterprise@2026
A-ASW4,BranchA,access,switch,admin,Enterprise@2026
HQ-CR1,HQ,core,router,admin,Enterprise@2026
HQ-CR2,HQ,core,router,admin,Enterprise@2026
HQ-DSW1,HQ,distribution,switch,admin,Enterprise@2026
HQ-DSW2,HQ,distribution,switch,admin,Enterprise@2026
HQ-DSW3,HQ,distribution,switch,admin,Enterprise@2026
HQ-DSW4,HQ,distribution,switch,admin,Enterprise@2026
HQ-ASW1,HQ,access,switch,admin,Enterprise@2026
HQ-ASW2,HQ,access,switch,admin,Enterprise@2026
HQ-ASW3,HQ,access,switch,admin,Enterprise@2026
HQ-ASW4,HQ,access,switch,admin,Enterprise@2026
HQ-ASW5,HQ,access,switch,admin,Enterprise@2026
HQ-ASW6,HQ,access,switch,admin,Enterprise@2026
B-CR1,BranchB,core,router,admin,Enterprise@2026
B-DSW1,BranchB,distribution,switch,admin,Enterprise@2026
B-DSW2,BranchB,distribution,switch,admin,Enterprise@2026
B-ASW1,BranchB,access,switch,admin,Enterprise@2026
B-ASW2,BranchB,access,switch,admin,Enterprise@2026
B-ASW3,BranchB,access,switch,admin,Enterprise@2026
B-ASW4,BranchB,access,switch,admin,Enterprise@2026
